age,education,loan_amount,asset_cost,no_of_loans,no_of_curr_loans,last_delinq_none,loan_default
30,1,771508,715460,5,4,0,1
28,2,562680,842880,0,0,0,0
35,1,763120,709964,6,5,0,1
34,2,562656,780324,0,0,0,0
34,2,779056,726944,12,5,0,1
47,2,509928,799980,0,0,0,0
35,1,680188,759500,3,2,0,1
52,2,784936,800636,5,4,0,1
43,2,931108,846860,5,4,0,1
48,2,669108,821856,4,3,0,0
27,1,659472,961200,0,0,0,0
39,2,856744,837836,3,2,0,1
49,2,639388,647840,3,2,0,1
30,1,786640,732212,3,2,0,1
49,2,767184,886668,8,2,0,0
46,2,530068,496412,3,2,0,1
48,2,769108,784184,11,6,0,1
32,2,688956,867612,0,0,0,0
33,1,941476,1290212,3,2,0,1
42,2,763108,814400,3,2,0,1
25,1,650436,863532,0,0,0,0
47,2,918028,1172492,10,8,0,1
31,2,1168680,1944168,4,3,0,0
31,2,482520,889536,0,0,0,0
26,2,776028,1035600,2,0,0,0
36,2,503928,835152,0,0,0,0
32,1,568188,696000,2,0,0,0
35,2,751108,846080,7,6,1,1
33,2,542220,709572,0,0,0,0
41,1,508728,673884,4,4,0,0
28,1,434868,687600,0,0,0,0
39,1,787636,711056,3,2,0,1
55,2,652000,861548,3,2,0,1
29,2,556356,887400,0,0,0,0
25,1,564588,799920,0,0,0,0
29,2,826584,1224840,0,0,0,0
33,2,565188,2101500,8,4,0,0
29,1,612936,767364,0,0,0,0
55,2,639388,616700,17,10,0,1
33,2,837600,1004400,0,0,0,0
41,2,632436,727644,6,5,0,0
39,1,608436,741600,6,3,0,0
46,2,865476,1243200,5,4,0,0
41,2,712936,754364,6,5,0,1
38,2,654168,755004,7,5,0,0
52,2,632188,745376,3,2,0,1
34,2,709636,754016,5,4,0,1
31,2,540588,883200,0,0,0,0
41,2,719364,825432,19,5,0,0
34,2,835476,1173600,4,2,0,0
44,2,905920,855440,3,2,0,1
38,2,751636,791396,3,2,0,1
51,2,1047988,971276,3,2,0,1
29,2,575388,853692,4,0,0,0
35,2,805276,1022948,3,2,0,1
44,2,427668,867996,2,2,0,0
32,2,622872,828000,3,3,1,0
31,1,700036,740552,3,2,0,1
46,1,634000,653000,3,2,0,1
35,2,505128,655320,0,0,0,0
48,1,693108,884352,0,0,0,0
35,1,646620,781812,0,0,0,0
34,1,680508,866400,4,2,0,0
46,2,449268,763812,8,4,0,0
53,1,822556,725276,3,2,0,1
40,1,773908,711104,11,6,0,1
33,2,590728,1535600,3,2,0,1
34,2,739392,957600,7,2,0,0
49,2,751636,780236,3,2,0,1
32,1,545388,821640,2,2,0,0
51,1,926584,928736,3,2,0,1
47,2,687108,947664,0,0,0,0
34,2,568188,799728,2,0,0,0
34,1,657708,837684,0,0,0,0
25,1,648000,781800,0,0,0,0
41,1,596728,732200,9,6,0,1
40,2,663108,760968,0,0,0,0
35,2,784156,770912,5,2,0,1
53,2,716536,820700,5,4,0,1
39,2,732156,940800,0,0,0,0
29,1,1163880,1662420,0,0,0,0
44,2,586188,1074408,12,2,0,0
49,1,478728,800448,0,0,0,0
54,2,647188,917456,6,4,0,1
42,2,796584,912000,0,0,0,0
47,1,481728,620400,0,0,0,0
42,2,540588,727860,0,0,0,0
40,2,712936,631868,5,2,0,1
30,2,691344,859308,0,0,0,0
33,2,1037868,1419492,9,3,0,0
37,1,639988,576680,3,2,0,1
32,2,663108,818520,9,9,0,0
34,1,952924,956852,3,2,0,1
34,1,769108,672572,3,2,0,1
38,2,608196,887040,4,2,0,0
37,1,699108,840912,0,0,0,0
26,2,621636,757188,0,0,0,0
34,2,580648,694940,3,2,0,1
39,1,556188,756600,0,0,0,0
52,1,743068,759056,10,4,0,1
32,2,877744,1090904,3,2,0,1
41,1,589740,864000,6,3,0,0
49,1,554076,874128,0,0,0,0
31,2,1045440,1977216,0,0,0,0
33,2,624936,765384,2,2,0,0
34,1,603636,709860,10,4,0,0
33,2,666156,857964,0,0,0,0
47,1,415200,570600,0,0,0,0
27,1,589740,875316,5,2,0,0
48,1,743364,858000,0,0,0,0
25,1,613044,924108,0,0,0,0
31,2,680188,627584,5,2,0,1
31,1,568188,1111524,4,4,0,0
47,2,875308,896324,5,4,0,1
33,1,672156,769716,18,5,0,0
44,2,734536,712124,10,5,0,1
41,1,824644,850448,10,4,0,1
49,2,404400,763560,2,2,0,0
50,2,508728,593208,17,10,1,0
44,2,574188,681036,2,0,0,0
33,1,649908,807720,9,3,0,0
26,1,857004,1185444,0,0,0,0
44,2,857764,1052816,3,2,0,1
29,1,699108,806376,6,6,0,0
38,2,580188,868356,0,0,0,0
54,2,712936,656252,9,7,0,1
28,1,780828,990048,2,2,0,0
43,2,739636,734480,3,2,0,1
43,1,998220,1366284,3,3,0,0
49,2,737236,822800,6,4,0,1
48,2,1092660,1547580,6,2,0,0
38,2,734556,960336,2,2,0,0
38,1,811036,952076,6,5,0,1
47,2,484728,1049988,3,2,0,0
28,2,582936,827040,0,0,0,0
40,1,675108,817164,0,0,0,0
42,1,690556,644360,9,4,0,1
48,2,819804,965520,0,0,0,0
54,2,727636,699200,5,4,0,1
37,2,516120,847668,0,0,0,0
29,2,731196,1188000,0,0,0,0
54,2,584728,845000,11,6,0,1
33,2,1227316,1563464,13,5,0,1
42,1,586188,756216,8,4,0,0
28,1,603636,698724,0,0,0,0
28,1,621636,852228,0,0,0,0
35,1,657108,866580,4,2,0,0
43,2,822556,801176,3,2,0,1
42,2,651108,748764,6,3,0,0
48,2,675108,781632,0,0,0,0
45,2,520728,823212,0,0,0,0
53,2,763108,745976,6,2,0,1
27,1,463668,873492,4,0,0,0
28,1,859476,1104000,0,0,0,0
40,2,743364,1022400,3,3,0,0
48,2,492888,920772,11,6,0,0
33,1,556188,1119504,3,0,0,0
40,1,802156,695720,12,4,0,1
35,2,679908,852000,4,3,0,0
46,2,592188,886212,15,0,0,0
40,2,393408,494664,0,0,0,0
30,2,591636,874596,2,0,0,0
42,2,442348,500912,5,2,0,1
42,1,707280,951480,7,5,0,0
27,2,783384,1138056,0,0,0,0
34,2,607236,687684,0,0,0,0
37,1,682660,791024,3,2,0,1
43,1,895552,1070528,5,2,0,1
37,2,696156,939336,2,2,0,0
36,2,706164,911256,0,0,0,0
47,1,648156,1237452,7,2,0,0
33,2,743364,867396,2,2,0,0
48,2,744748,797540,3,2,0,1
33,1,520036,452000,3,2,0,1
42,2,978388,1173260,6,2,0,1
49,1,706936,681044,6,5,0,1
53,2,709636,639068,3,2,0,1
37,1,786552,900000,8,6,0,0
48,1,532188,856872,0,0,0,0
32,1,906028,861200,8,5,0,1
49,2,782308,791996,5,2,0,1
34,1,758556,1085616,2,0,0,0
27,1,678156,834564,2,0,0,0
43,2,637236,804000,0,0,0,0
41,2,650668,680792,3,2,0,1
50,2,755908,823004,5,4,0,1
48,1,700036,660800,6,4,0,1
51,2,786472,704000,14,5,0,1
44,2,755356,669980,3,2,0,1
38,1,616836,765840,2,0,0,0
40,2,455268,843360,6,0,0,0
42,2,837804,1296084,0,0,0,0
26,2,416868,804348,0,0,0,0
48,2,567268,602000,3,2,0,1
51,2,768508,717440,9,6,0,1
30,1,663108,859212,0,0,0,0
36,1,651156,815784,5,3,0,0
36,2,681108,831408,2,2,0,0
35,2,544140,821640,2,2,0,0
47,2,1257880,1491200,3,2,0,1
39,2,696436,782240,3,2,0,1
50,2,665788,701096,3,2,0,1
51,2,858556,836420,9,2,0,1
37,2,758556,864504,0,0,0,0
39,2,520728,740412,0,0,0,0
29,2,520728,1087680,3,3,0,0
41,2,734556,917964,2,0,0,0
32,2,841440,1155636,0,0,0,0
50,2,697908,819120,4,3,0,0
32,2,1138788,1976400,0,0,0,0
26,2,687108,863520,0,0,0,0
32,1,639028,698792,3,2,0,1
52,2,677740,653516,6,4,0,1
32,2,508728,755664,0,0,0,0
47,2,774828,909720,0,0,0,0
38,2,449268,711144,2,2,0,0
24,1,675108,785160,0,0,0,0
44,2,904984,1240472,3,2,0,1
47,1,580188,782700,0,0,0,0
47,2,458868,786996,0,0,0,0
42,1,510868,689156,3,2,0,1
34,1,512028,858564,0,0,0,0
30,1,772428,1052340,2,0,0,0
38,1,802156,1043240,7,6,0,1
44,2,596728,634136,5,4,0,1
31,2,772924,841316,3,2,0,1
44,2,1200460,1395200,18,6,0,1
36,1,693600,888000,0,0,0,0
51,2,961804,1145624,7,5,0,1
26,2,961632,1400400,0,0,0,0
33,2,1145868,2093256,0,0,0,0
47,2,670792,730604,3,2,0,1
31,1,699736,672584,3,2,0,1
26,2,665868,901464,0,0,0,0
31,2,1086660,2020200,0,0,0,0
49,2,413268,991032,2,0,0,0
44,2,443172,713172,8,5,0,0
48,1,753756,893100,2,0,0,0
25,1,562188,774720,0,0,0,0
39,1,455268,855600,2,0,0,0
44,1,293388,837600,0,0,0,0
28,1,365808,558000,2,2,0,0
35,2,537268,692984,3,2,0,1
46,1,683760,906324,2,0,0,0
47,2,788956,733304,6,4,0,1
43,2,615636,919668,0,0,0,0
45,1,749364,802764,9,2,0,0
41,1,792508,783932,6,4,0,1
30,2,532188,821100,0,0,0,0
36,2,839764,979820,3,2,0,1
30,1,779628,996000,0,0,0,0
38,2,746916,855120,6,3,0,0
45,1,656268,886440,4,4,0,0
25,1,472728,730980,0,0,0,0
51,2,756556,752000,3,2,0,1
46,2,585636,808728,4,3,0,0
44,2,460068,781104,0,0,0,0
50,2,449268,803520,0,0,0,0
46,2,971476,1124000,3,2,0,1
55,2,752956,677084,9,6,0,1
50,2,721636,726920,6,4,0,1
44,2,687108,991428,2,2,0,0
39,1,477528,916800,0,0,0,0
50,1,721636,655400,5,4,0,1
42,2,772168,679868,8,4,0,1
32,2,653740,630200,3,2,0,1
36,2,992116,1687520,3,2,0,1
35,1,548220,768732,0,0,0,0
25,1,725364,824232,3,2,0,0
28,1,853476,1444896,4,4,0,0
51,1,682588,620660,3,2,0,1
26,1,814584,1182000,0,0,0,0
37,2,538188,899736,2,2,0,0
25,2,653100,846288,0,0,0,0
50,1,462900,558000,0,0,0,0
33,1,488328,559200,0,0,0,0
30,2,879012,1361760,0,0,0,0
45,2,855804,1018800,0,0,0,0
28,1,626136,766572,0,0,0,0
41,1,747756,859632,0,0,0,0
41,2,799564,805400,3,2,0,1
31,1,495528,784080,0,0,0,0
33,1,787756,740000,5,4,0,1
29,2,708636,883200,0,0,0,0
38,2,568188,781752,15,11,0,0
50,2,838156,757220,7,2,0,1
29,2,617128,729788,3,2,0,1
54,2,861364,721952,8,6,0,1
51,2,937804,1148000,5,4,0,1
35,2,502728,744276,6,4,0,0
45,2,742956,847260,6,2,0,0
49,2,541740,1020492,2,2,0,0
26,2,731364,1074552,2,2,0,0
25,2,577740,737676,0,0,0,0
35,2,600936,776952,0,0,0,0
29,2,950044,1246112,3,2,0,1
31,2,568188,813276,4,2,0,0
54,2,623296,697736,5,4,0,1
33,2,822556,790544,8,6,0,1
31,2,691908,803376,6,2,0,0
32,1,784156,917084,3,2,0,1
45,2,645636,835572,17,4,0,0
29,1,680188,627068,3,2,0,1
49,2,627636,753744,8,4,0,0
47,2,647316,849384,3,2,0,0
45,2,764308,680024,17,5,1,1
47,1,557376,721536,0,0,0,0
34,1,620728,622196,3,2,0,1
36,2,670272,802488,7,5,0,0
30,1,824728,763736,5,4,0,1
35,1,658308,862404,4,2,0,0
26,2,660156,924000,0,0,0,0
39,2,742588,774800,3,2,0,1
31,1,668740,647720,5,2,0,1
29,2,633636,744972,0,0,0,0
33,2,997440,1381320,0,0,0,0
33,2,1122240,1811712,0,0,0,0
30,2,795460,1160372,3,2,0,1
39,2,844468,790820,3,2,0,1
53,2,816028,1036976,3,2,0,1
47,1,612036,793608,0,0,0,0
34,1,546588,829788,3,3,0,0
34,1,706036,734804,6,4,0,1
36,2,365808,778980,9,0,0,0
43,1,729300,1153716,0,0,0,0
39,2,425268,924504,0,0,0,0
46,2,673308,799332,0,0,0,0
52,2,572728,575240,3,2,0,1
44,1,627636,761496,3,2,0,0
30,2,586108,711332,3,2,0,1
40,2,1100560,1319900,5,4,0,1
52,1,1257880,1604000,3,2,0,1
52,2,847780,1088204,3,2,0,1
29,1,675108,862080,0,0,0,0
43,2,654108,905568,10,2,0,0
44,2,453468,932736,0,0,0,0
38,2,586776,730800,7,4,0,0
30,2,659968,578000,3,2,0,1
37,2,653508,751524,2,2,0,0
35,1,667908,924108,3,3,0,0
51,1,891484,823952,3,2,0,1
31,2,1068232,1226000,3,2,0,1
37,2,461268,852312,2,0,0,0
38,1,391008,792000,11,6,0,0
36,2,573600,803616,2,2,0,0
42,1,743364,1032864,3,2,0,0
24,2,544188,813024,3,3,0,0
49,2,706936,728000,11,6,0,1
48,1,502692,712572,3,0,0,0
37,1,839356,844400,7,2,0,1
38,1,682956,907680,2,2,0,0
48,2,582216,791100,8,4,0,0
40,2,526728,709104,3,3,0,0
29,2,761364,962412,0,0,0,0
32,2,562188,907800,0,0,0,0
44,1,680008,701108,3,2,0,1
45,2,393408,822240,0,0,0,0
28,2,1145880,1768800,0,0,0,0
48,2,760000,777188,9,4,0,1
29,2,608136,833940,0,0,0,0
48,2,520728,855600,0,0,0,0
46,1,597636,910308,0,0,0,0
33,1,537828,890040,0,0,0,0
38,1,639636,834000,0,0,0,0
31,1,615636,807396,8,3,0,0
40,2,802584,992400,0,0,0,0
43,1,520728,834804,0,0,0,0
34,2,787108,936800,3,2,0,1
26,2,552540,864000,0,0,0,0
35,2,669156,870000,0,0,0,0
54,2,797764,760268,3,2,0,1
48,1,870000,1022484,3,0,0,0
31,2,828556,763520,3,2,0,1
53,1,834556,771212,3,2,0,1
46,2,317160,747240,0,0,0,0
38,1,822952,998852,3,2,0,1
39,1,782028,1233252,16,9,0,0
39,2,603636,951156,0,0,0,0
53,2,612712,749432,3,2,0,1
25,1,568188,764148,0,0,0,0
39,2,562188,833976,6,4,0,0
44,1,802584,996000,0,0,0,0
39,1,760164,864000,2,2,0,0
32,1,462492,739416,3,3,0,0
35,1,933012,1169160,0,0,0,0
25,2,606936,819936,3,3,0,0
33,1,608196,751524,5,4,0,0
41,1,895984,806000,7,6,0,1
41,2,942552,1240200,0,0,0,0
36,2,784584,898620,0,0,0,0
30,1,967804,948800,5,2,0,1
45,2,866956,772328,3,2,0,1
39,2,514728,895464,0,0,0,0
40,2,760000,823220,5,2,0,1
45,1,772156,710000,3,2,0,1
31,2,804604,1089020,3,2,0,1
42,2,763588,747956,3,2,0,1
31,2,712164,817392,9,2,0,0
40,2,707676,876372,2,2,0,0
49,2,544468,513200,3,2,0,1
39,2,467268,836208,0,0,0,0
47,1,808584,992760,0,0,0,0
42,2,731364,857160,6,3,0,0
32,1,512520,774144,3,3,0,0
29,1,650556,849516,3,2,0,0
43,2,718936,614720,3,2,0,1
49,2,696976,612920,8,7,0,1
46,1,600036,899412,4,2,0,0
36,1,461268,748800,4,2,0,0
41,2,635740,591104,3,2,0,1
46,1,977476,1111676,7,4,0,1
50,2,766156,672860,3,2,0,1
31,2,944232,1314000,0,0,0,0
32,2,1009012,1169576,3,2,0,1
33,1,717976,755492,3,2,0,1
39,2,482332,436712,7,5,0,1
49,2,775108,828332,3,2,0,1
37,2,721636,706772,3,2,0,1
34,1,687108,959400,0,0,0,0
41,1,626400,784800,0,0,0,0
30,1,708276,869136,5,3,0,0
41,1,264888,475860,0,0,0,0
38,2,699108,1157076,18,6,0,0
42,1,460068,791304,0,0,0,0
45,2,448308,757344,14,7,0,0
48,1,873804,1055580,3,0,0,0
31,1,722556,858888,0,0,0,0
28,2,605232,829440,3,2,0,0
35,2,514728,885024,0,0,0,0
40,2,525888,878952,13,4,0,0
36,2,718380,936048,6,3,0,0
42,2,498208,744416,3,2,0,1
32,2,582096,760320,0,0,0,0
52,2,947476,989744,3,2,0,1
43,1,449268,592560,0,0,0,0
27,2,798984,1014600,7,5,0,0
38,1,502728,713700,4,4,0,0
30,2,538188,805020,4,4,0,0
25,2,821364,997128,0,0,0,0
47,2,484728,712632,2,2,0,0
33,1,562188,751308,0,0,0,0
47,1,914428,816332,12,2,0,1
45,2,597156,1296132,0,0,0,0
46,1,684988,801536,3,2,0,1
37,2,601960,564776,3,2,0,1
47,2,466728,792300,17,5,0,0
38,2,910984,863348,5,4,0,1
46,2,672156,828216,0,0,0,0
29,1,664308,759600,0,0,0,0
36,1,744436,635960,6,4,0,1
37,2,948312,1256640,9,6,0,0
30,2,722556,848892,5,2,0,0
40,2,851116,754400,3,2,0,1
27,2,713364,828192,0,0,0,0
43,2,615636,902784,0,0,0,0
26,1,720000,939000,0,0,0,0
28,2,515928,723600,0,0,0,0
36,2,624816,875544,0,0,0,0
39,1,776956,744200,3,2,0,1
38,1,732000,952392,0,0,0,0
54,1,748156,711464,3,2,0,1
25,1,564576,728028,0,0,0,0
45,2,674188,826040,3,2,0,1
38,1,616344,775800,3,3,0,0
30,2,755364,960384,0,0,0,0
50,1,685216,606800,9,6,0,1
25,2,637236,735072,0,0,0,0
37,2,814156,720464,3,2,0,1
40,1,802708,788000,8,7,0,1
45,2,757600,716000,6,5,0,1
34,2,394348,653876,3,2,0,1
43,1,515664,816960,0,0,0,0
36,1,814584,1206000,3,2,0,0
55,2,828556,831080,7,4,0,1
40,2,511348,602360,3,2,0,1
29,1,766584,882000,0,0,0,0
34,2,591576,798732,0,0,0,0
36,2,712056,821292,0,0,0,0
35,2,609264,1136328,3,3,0,0
33,2,807228,1056432,2,0,0,0
38,2,707580,850140,0,0,0,0
29,2,541740,664680,0,0,0,0
35,1,652956,802896,0,0,0,0
42,1,745516,687488,7,4,0,1
32,2,961804,1137548,3,2,0,1
46,2,615636,762780,0,0,0,0
46,1,801364,740036,11,9,0,1
36,1,545788,462740,3,2,0,1
32,2,651108,1163400,3,0,0,0
36,2,556188,710040,8,2,0,0
41,2,562188,782700,2,0,0,0
29,2,757108,669980,6,2,0,1
31,1,1262788,1912016,3,2,0,1
40,2,572988,786000,0,0,0,0
42,2,778684,738308,3,2,0,1
30,2,595716,802200,0,0,0,0
44,2,531268,578960,3,2,0,1
27,1,568188,737100,0,0,0,0
43,1,808584,985632,5,3,0,0
55,1,758908,757076,3,2,0,1
42,2,680188,714008,7,6,0,1
40,1,709908,917040,0,0,0,0
39,2,665112,977280,0,0,0,0
49,1,577788,740400,2,2,0,0
25,1,880476,1309488,0,0,0,0
44,2,873028,841208,6,4,0,1
32,2,713632,645968,3,2,0,1
36,2,807384,977508,0,0,0,0
50,1,727636,769940,3,2,0,1
27,1,737364,894276,0,0,0,0
47,2,584728,648260,3,2,0,1
43,1,682696,677252,5,4,0,1
31,1,643668,876360,4,3,0,0
37,2,820444,758876,3,2,0,1
29,1,439992,996852,2,2,0,0
30,1,624636,919080,0,0,0,0
26,1,688908,848028,2,2,0,0
30,2,979804,1190000,3,2,0,1
43,2,797784,879132,7,3,0,0
38,2,665868,830808,0,0,0,0
28,2,496728,819192,0,0,0,0
37,2,736936,971840,3,2,0,1
42,1,714156,822120,0,0,0,0
28,2,812184,1256832,0,0,0,0
26,2,512328,821460,8,4,0,0
43,2,562188,765600,6,4,0,0
30,2,1070236,1266116,3,2,0,1
46,1,464868,1005192,3,3,0,0
40,1,837804,1034544,10,3,0,0
31,2,794028,1096440,0,0,0,0
38,1,763108,820232,3,2,0,1
32,1,775108,721964,3,2,0,1
51,1,570868,723584,3,2,0,1
34,2,580188,798000,3,2,0,0
29,2,514728,868980,6,3,0,0
49,1,337288,608576,13,9,0,1
25,2,660156,925260,0,0,0,0
34,1,666000,900972,9,4,0,0
35,1,784584,1001400,6,5,0,0
53,1,721336,758300,11,7,0,1
49,1,451668,763176,6,2,0,0
39,1,608436,799932,0,0,0,0
53,2,764308,744488,3,2,0,1
32,1,890824,1020200,3,2,0,1
38,2,651108,784200,9,6,0,0
33,2,609936,721536,3,2,0,0
42,1,1255588,1470200,3,2,0,1
30,1,574188,742608,0,0,0,0
42,2,696156,1086000,4,2,0,0
34,1,481248,833796,0,0,0,0
25,2,673908,806376,0,0,0,0
44,2,586140,792000,3,2,0,0
42,1,823084,1039292,3,2,0,1
38,2,651636,919848,0,0,0,0
28,2,933012,1308756,0,0,0,0
39,2,1033012,1100540,3,2,0,1
50,1,637788,822768,0,0,0,0
33,1,1242280,1376000,3,2,0,1
25,2,659424,934044,0,0,0,0
31,2,751156,692396,3,2,0,1
52,2,852556,1032572,7,2,0,1
40,2,702156,803244,5,2,0,0
40,1,949804,1258724,3,2,0,1
42,1,846964,860000,6,4,0,1
44,2,836164,799460,8,4,0,1
41,2,915556,1052000,3,2,0,1
35,1,832156,750548,3,2,0,1
49,2,377808,836484,0,0,0,0
34,2,478728,752244,12,4,0,0
40,1,615636,814896,0,0,0,0
44,1,736764,918600,0,0,0,0
28,2,841476,1160904,12,7,0,0
38,1,687108,1194636,0,0,0,0
45,2,415644,956580,2,0,0,0
42,1,855364,771500,3,2,0,1
29,1,615636,770508,4,3,0,0
36,1,775108,684152,3,2,0,1
30,2,739764,917304,0,0,0,0
48,1,416028,757164,4,3,0,0
31,1,787108,734408,3,2,0,1
26,1,596436,747600,0,0,0,0
48,1,1305504,1680000,13,5,0,0
39,2,588696,799608,0,0,0,0
34,2,699108,1047348,16,7,0,0
32,1,514000,444176,3,2,0,1
44,2,378648,801840,3,0,0,0
43,2,684708,859200,9,5,0,0
31,1,751636,738356,3,2,0,1
49,2,507528,607800,0,0,0,0
29,1,375408,886332,0,0,0,0
35,2,266304,1076808,0,0,0,0
42,2,581128,563480,3,2,0,1
31,1,751776,895200,0,0,0,0
31,2,773908,853208,3,2,0,1
39,2,624936,852456,0,0,0,0
30,2,615624,811320,0,0,0,0
32,1,484728,811392,13,7,0,0
34,1,484728,800100,0,0,0,0
34,2,623856,1228680,0,0,0,0
47,2,597336,821640,6,2,0,0
41,2,878368,1084340,3,2,0,1
29,1,508728,896256,6,3,0,0
32,2,1268680,1820000,3,2,0,1
34,2,770556,1032492,0,0,0,0
43,2,594036,899976,10,8,0,0
38,1,809908,760076,3,2,0,1
42,2,895228,809240,7,5,0,1
33,1,861364,836000,3,2,0,1
42,2,790584,1142904,0,0,0,0
48,1,591636,746832,0,0,0,0
48,2,886348,870392,3,2,0,1
38,1,966396,1392600,3,3,0,0
35,2,525528,782748,0,0,0,0
41,2,547536,756936,0,0,0,0
32,2,524700,866616,2,2,0,0
34,2,794904,912000,5,3,0,0
26,2,605496,864000,0,0,0,0
30,1,873804,996000,4,2,0,0
27,1,526188,761724,3,3,0,0
36,1,801384,943920,6,2,0,0
41,1,686508,887280,6,2,0,0
40,1,614728,642332,3,2,0,1
34,1,709636,906908,6,2,0,1
34,1,764556,891504,0,0,0,0
26,1,889812,1069200,0,0,0,0
27,2,903012,1263336,0,0,0,0
32,2,484728,764400,2,2,0,0
34,2,702108,820800,2,0,0,0
52,2,763108,714092,13,2,0,1
29,1,449268,758328,2,2,0,0
29,1,743364,908856,0,0,0,0
40,1,638976,1115340,5,4,0,0
51,2,894028,845228,5,4,0,1
44,2,883404,998832,3,0,0,0
34,1,885664,908000,3,2,0,1
39,2,867364,1092800,3,2,0,1
45,1,772156,668000,3,2,0,1
42,2,449268,784236,6,0,0,0
39,2,715764,996456,2,2,0,0
30,1,353172,1068840,0,0,0,0
43,2,787108,689456,3,2,0,1
36,2,837364,790832,5,2,0,1
32,2,1081960,2075012,3,2,0,1
34,2,670000,679544,3,2,0,1
49,2,684156,806580,0,0,0,0
29,1,511740,757932,2,0,0,0
44,2,1022884,1185872,7,6,0,1
43,1,834556,814208,3,2,0,1
47,1,732156,895476,0,0,0,0
31,1,897012,1257192,0,0,0,0
31,2,638188,571940,3,2,0,1
36,1,787948,786620,5,2,0,1
36,2,593128,595184,3,2,0,1
52,1,686224,678920,3,2,0,1
28,1,814812,1237008,0,0,0,0
44,1,639636,864000,7,4,0,0
41,1,920584,865220,3,2,0,1
35,2,796156,692000,5,4,0,1
42,1,755364,861600,9,3,0,0
47,1,810556,964880,3,2,0,1
44,1,651156,815784,0,0,0,0
46,2,700936,587684,3,2,0,1
27,1,725844,868896,11,8,0,0
29,1,674256,910440,0,0,0,0
37,1,477808,679244,3,2,0,1
37,2,763108,741440,7,5,0,1
44,2,748936,679496,3,2,0,1
31,2,568188,1115472,0,0,0,0
24,1,580188,927288,0,0,0,0
31,2,1056232,1220000,3,2,0,1
29,1,705108,1277820,2,2,0,0
33,2,638556,830376,0,0,0,0
48,1,620728,708740,3,2,0,1
33,1,775108,731324,3,2,0,1
30,1,764308,655376,3,2,0,1
44,1,624936,872184,2,2,0,0
37,2,829404,951900,16,4,0,0
32,1,583740,830556,0,0,0,0
32,2,767364,1074996,0,0,0,0
39,1,792108,902496,3,0,0,0
38,2,755364,900012,0,0,0,0
38,2,718936,783056,3,2,0,1
52,2,894028,964796,6,5,0,1
35,2,831364,841964,3,2,0,1
32,1,770556,1073628,12,3,0,0
31,2,855364,818984,5,2,0,1
29,2,807384,1226568,7,5,0,0
39,2,624936,776376,0,0,0,0
52,2,775108,713948,6,4,0,1
37,2,1000632,1386948,0,0,0,0
45,2,663108,986832,0,0,0,0
43,2,454668,627348,0,0,0,0
54,1,584728,542252,3,2,0,1
32,1,719836,777932,3,2,0,1
44,1,538188,913800,0,0,0,0
46,2,585636,733728,7,5,0,0
33,2,722556,1251300,2,2,0,0
43,2,413268,749256,17,10,0,0
34,1,1167868,1352000,3,2,0,1
51,2,843364,846440,5,4,0,1
45,2,568188,864000,0,0,0,0
26,2,703764,836100,4,0,0,0
31,1,624000,807600,2,0,0,0
33,1,972604,1159676,7,5,0,1
27,1,556188,740508,11,8,0,0
45,2,763108,883400,9,5,0,1
46,2,797908,740108,3,2,0,1
32,2,818028,1179000,0,0,0,0
30,2,852804,1014264,16,3,1,0
43,2,507528,747600,3,3,0,0
38,1,726156,872232,0,0,0,0
43,1,489528,750696,0,0,0,0
50,2,651136,736028,5,4,0,1
47,1,628836,877236,0,0,0,0
39,2,458868,548040,2,0,0,0
44,1,703764,847308,2,2,0,0
28,2,758364,1063788,0,0,0,0
36,2,663108,837672,2,2,0,0
43,2,900184,1188104,5,2,0,1
40,2,708708,846576,0,0,0,0
28,1,603636,832848,0,0,0,0
26,1,846204,1041420,0,0,0,0
35,2,840604,764096,10,7,0,1
50,1,790696,719648,13,9,0,1
31,2,560988,858552,2,2,0,0
32,1,757096,788000,3,2,0,1
53,2,659740,542000,3,2,0,1
44,2,694956,902412,0,0,0,0
53,2,750556,706760,3,2,0,1
51,1,971476,910400,6,5,0,1
49,2,346368,503748,4,3,0,0
25,2,574188,856812,5,4,0,0
37,2,553740,770856,0,0,0,0
55,2,1097032,1308800,14,11,1,1
48,1,556668,786264,3,0,0,0
45,1,629736,828408,0,0,0,0
38,2,782028,901692,9,2,0,0
35,1,741756,908400,0,0,0,0
50,1,920428,948080,3,2,0,1
27,2,730956,1110264,2,2,0,0
34,2,718800,929496,0,0,0,0
28,2,609636,839004,0,0,0,0
43,1,760000,705476,7,5,0,1
32,2,832156,932096,11,8,0,1
37,1,586188,779400,0,0,0,0
28,1,971796,1305048,4,4,0,0
42,1,642936,806220,0,0,0,0
42,1,1157880,1844544,2,0,0,0
47,1,636936,735876,4,2,0,0
45,1,709636,660764,6,5,0,1
40,2,777508,939284,6,4,0,1
47,2,1021012,1178000,5,4,0,1
50,2,914584,1176356,5,4,0,1
47,2,778000,674000,3,2,0,1
45,1,826584,1186224,2,2,0,0
47,2,583752,781980,0,0,0,0
54,2,739636,752000,3,2,0,1
51,2,696436,634520,6,2,0,1
34,1,638436,1193016,0,0,0,0
48,1,763108,814256,3,2,0,1
55,1,730948,730808,7,5,0,1
44,2,937812,1305048,2,2,0,0
54,2,704836,709976,13,7,0,1
33,2,615636,936000,0,0,0,0
29,2,550188,900780,0,0,0,0
